col0,col1,col2,col3,col4,col5,col6
2013 French Super Series – Women's singles quarterfinals match 4,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-25,2013 French Super Series – Women's singles quarterfinals
2013 French Super Series – Women's singles quarterfinals match 3,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-25,2013 French Super Series – Women's singles quarterfinals
2013 French Super Series – Women's singles quarterfinals match 2,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-25,2013 French Super Series – Women's singles quarterfinals
2013 French Super Series – Women's singles quarterfinals match 1,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-25,2013 French Super Series – Women's singles quarterfinals
2013 French Super Series – Women's singles eigthfinals match 7,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-27,2013 French Super Series – Women's singles eigthfinals
2013 French Super Series – Women's singles eigthfinals match 6,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-27,2013 French Super Series – Women's singles eigthfinals
2013 French Super Series – Women's singles eigthfinals match 5,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-27,2013 French Super Series – Women's singles eigthfinals
2013 French Super Series – Women's singles eigthfinals match 3,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-27,2013 French Super Series – Women's singles eigthfinals
2013 French Super Series – Women's singles eigthfinals match 1,France,women's singles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-27,2013 French Super Series – Women's singles eigthfinals
2013 French Super Series – Women's doubles quarterfinals match 3,France,women's doubles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-25,2013 French Super Series – Women's doubles quarterfinals
2013 French Super Series – Women's doubles quarterfinals match 2,France,women's doubles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-25,2013 French Super Series – Women's doubles quarterfinals
2013 French Super Series – Women's doubles eigthfinals match 8,France,women's doubles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-24,2013 French Super Series – Women's doubles eightfinals
2013 French Super Series – Women's doubles eigthfinals match 7,France,women's doubles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-24,2013 French Super Series – Women's doubles eightfinals
2013 French Super Series – Women's doubles eigthfinals match 6,France,women's doubles,Stade Pierre de Coubertin,WikiProject Badminton/tournament focus list,2013-10-24,2013 French Super Series – Women's doubles eightfinals
