col0,col1,col2,col3
Monción,364,101.61,Santiago Rodríguez Province
Sabaneta,124,804470000,Santiago Rodríguez Province
El Cercado,761,283.05,San Juan Province
San Juan de la Maguana,415,1876210000,San Juan Province
El Factor,20,149.23,María Trinidad Sánchez Province
Municipio de Cabrera,5,297.58,María Trinidad Sánchez Province
Nagua,3,552710000,María Trinidad Sánchez Province
Fantino,56,95.97,Sánchez Ramírez Province
Cevicos,95,305.64,Sánchez Ramírez Province
Cotuí,66,619880000,Sánchez Ramírez Province
Mao,78,423600000,Valverde Province
Santa Cruz del Seibo,117,1344330000,El Seibo Province
