col0,col1,col2,col3,col4,col5
The Spirit of Mountains and the School,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and the Spook,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and Glazier Matej,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and the Shoemaker,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and the Shepherd,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and the Messenger,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and the Apprentice,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and the Cuckoo Clock,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and Master Jehlicka,German Democratic Republic,DEFA-Studio Für Trickfilme,color,Luboš Fišer,child
The Spirit of Mountains and Taming of a Shrew,Czechoslovakia,Krátký Film Praha,color,Luboš Fišer,child
The Spirit of Mountains and the Bearded Dontovka,Czechoslovakia,Krátký Film Praha,color,Luboš Fišer,child
The Spirit of Mountains and a Poacher,Czechoslovakia,Krátký Film Praha,color,Luboš Fišer,child
