col0,col1,col2,col3,col4
Jenaro Herrera District,Requena Province,Jenaro Herrera,Requena District,Peru
Fernando Lores District,Maynas Province,Tamshiyacu,"Indiana District, Maynas",Peru
Jeberos District,Alto Amazonas Province,Jeberos,Yurimaguas District,Peru
Fernando Lores District,Maynas Province,Tamshiyacu,Yavari District,Peru
Jeberos District,Alto Amazonas Province,Jeberos,Santa Cruz District,Peru
Laredo District,Trujillo Province,"Laredo, La Libertad, Peru",Poroto District,Peru
Jenaro Herrera District,Requena Province,Jenaro Herrera,Nauta District,Peru
Fernando Lores District,Maynas Province,Tamshiyacu,Nauta District,Peru
Chota District,Chota Province,Chota,Lajas District,Peru
Jeberos District,Alto Amazonas Province,Jeberos,Lagunas District,Peru
Laredo District,Trujillo Province,"Laredo, La Libertad, Peru",El Porvenir District,Peru
