col0,col1,col2,col3,col4
Jorrie en Snorrie,Annie M. G. Schmidt,children's book,Collectieve Propaganda van het Nederlandse Boek,1990-01-01
Duizend dingen achter deuren,Joke van Leeuwen,children's book,Collectieve Propaganda van het Nederlandse Boek,1988-01-01
De zaak Jan Steen,Karel Eykman,children's book,Collectieve Propaganda van het Nederlandse Boek,1986-01-01
Houden beren echt van honing?,Midas Dekkers,children's book,Noordhoff Uitgevers,1985-01-01
Mijnheer van Dale en juffrouw Scholten,Kees Fens,children's book,Collectieve Propaganda van het Nederlandse Boek,1983-01-01
Retourtje ver weg,Willem Wilmink,gift of the children's book week,Gottmer publishing group,1982-01-01
Je eigen tijd,Willem Wilmink,gift of the children's book week,Gottmer publishing group,1981-01-01
Rammelkarinstructies,Carl Hollander,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,1967-01-01
Poppenkast,Wim Bijmoer,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,1960-01-01
Uitgaveplaat,Bert Bouman,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,1956-01-01
Lezende clown,Piet Worm,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,1955-01-01
De eilandenruzie,Jozua Douglas,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,2018-01-01
Kattensoep,Janneke Schotveld,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,2017-01-01
Oorlog en vriendschap,Dolf Verroen,gift of the children's book week,Collectieve Propaganda van het Nederlandse Boek,2016-01-01
