col0,col1,col2,col3
Cygnus NG-12,spaceflight,Antares,Cygnus
SpaceX Lunar Tourism Mission,spaceflight,Big Falcon Rocket,Big Falcon Spaceship
SpaceX CRS-19,spaceflight,Falcon 9 Block 5,SpaceX Dragon
SpaceX CRS-18,spaceflight,Falcon 9 Block 5,SpaceX Dragon
SpaceX CRS-17,spaceflight,Falcon 9 Block 5,SpaceX Dragon
SpaceX CRS-16,spaceflight,Falcon 9 Block 5,SpaceX Dragon
Cygnus NG-11,spaceflight,Antares,Cygnus
SpaceX CRS-15,spaceflight,Falcon 9,SpaceX Dragon
SpaceX CRS-13,spaceflight,Falcon 9 Full Thrust,SpaceX Dragon
SpaceX CRS-12,spaceflight,Falcon 9 Full Thrust,SpaceX Dragon
SpaceX CRS-11,spaceflight,Falcon 9 Full Thrust,SpaceX Dragon
SpaceX CRS-10,spaceflight,Falcon 9 Full Thrust,SpaceX Dragon
