col0,col1,col2,col3
Tiruchirappalli Lok Sabha constituency,Thiruverumbur,UTC+05:30,Tamil Nadu
Viluppuram Lok Sabha constituency,Tindivanam,UTC+05:30,Tamil Nadu
Chennai South Lok Sabha constituency,Virugambakkam,UTC+05:30,Tamil Nadu
Karur Lok Sabha constituency,Viralimalai,UTC+05:30,Tamil Nadu
Viluppuram Lok Sabha constituency,Villupuram,UTC+05:30,Tamil Nadu
Chennai Central Lok Sabha constituency,Villivakkam,UTC+05:30,Tamil Nadu
Viluppuram Lok Sabha constituency,Vikravandi,UTC+05:30,Tamil Nadu
Chennai South Lok Sabha constituency,Velachery,UTC+05:30,Tamil Nadu
Salem Lok Sabha constituency,Veerapandi,UTC+05:30,Tamil Nadu
Karur Lok Sabha constituency,Vedasandur,UTC+05:30,Tamil Nadu
Nagapattinam Lok Sabha constituency,Vedaranyam,UTC+05:30,Tamil Nadu
Tenkasi Lok Sabha constituency,Vasudevanallur,UTC+05:30,Tamil Nadu
Viluppuram Lok Sabha constituency,Vanur,UTC+05:30,Tamil Nadu
