col0,col1,col2,col3,col4
Pinakothek der Moderne,Germany,Kulturdenkmal,Maxvorstadt,national museum
Neue Pinakothek,Germany,Kulturdenkmal,Maxvorstadt,national museum
Accademia Carrara,Italy,Italian national heritage,Bergamo,commercial art gallery
"Pinacoteca dantesca ""Fortunato Bellonzi""",Italy,Italian national heritage,Torre de' Passeri,pinacotheca
"Pinacoteca civica ""Bruno Molajoli""",Italy,Italian national heritage,Fabriano,pinacotheca
Pinacoteca civica Monsignor Armando Ricci,Italy,Italian national heritage,Monte San Martino,pinacotheca
Pinacoteca e Museo civico di Camerino,Italy,Italian national heritage,Camerino,pinacotheca
Pinacoteca d’arte contemporanea,Italy,Italian national heritage,Smerillo,pinacotheca
"Pinacoteca civica ""Vittore Crivelli""",Italy,Italian national heritage,Sant'Elpidio a Mare,pinacotheca
Pinacoteca di Casa Rusca,Italy,Italian national heritage,Massa Fermana,pinacotheca
Pinacoteca diocesana di arte sacra,Italy,Italian national heritage,Senigallia,pinacotheca
Pinacoteca interno,Italy,Italian national heritage,Camerino,pinacotheca
