col0,col1,col2,col3
The Irony of Fate,Soviet Union,comedy film,Christmas tradition
Olsenbandens første kupp,Norway,Nordic Christmas calendar,Christmas tradition
Little Lord Fauntleroy,United Kingdom,drama film,Christmas tradition
Pagten,Denmark,Nordic Christmas calendar,Christmas tradition
Frosty the Snowman,United States of America,fantasy film,television film
Sagan om Karl-Bertil Jonssons julafton,Sweden,television comedy,television film
Dinner for One,Germany,television comedy,television film
Little Lord Fauntleroy,United Kingdom,drama film,television film
"Yes, Virginia, there is a Santa Claus",United States of America,Christmas film,letter
Dinner for One,Germany,television comedy,short film
Charodei,Soviet Union,fantasy film,film
