col0,col1,col2,col3,col4,col5
GJ 3512,59.4973457914477,105.3856,130.3338706148495,GJ 3512 b,8.668
Barnard's Star,4.6933642650633,546.98,269.452082497514,Barnard's Star b,9.511
Ross 128,0.8045569253625,296.3073,176.93498694507085,Ross 128 b,11.153
NGTS-1,-36.6308045995225,4.5558,82.71438452779043,NGTS-1b,15.57
LP 613-39,0.00529385113583,12.025,176.26445914449374,K2-9b,16.18
LHS 1140,-15.27153975691278,66.6996,11.2472145804325,LHS 1140b,14.15
TRAPPIST-1,-5.04139769179028,80.4512,346.6223683553692,TRAPPIST-1e,18.798
Kepler-174,43.83208303321889,2.5702,287.43917794320043,Kepler-174c,12.184
Proxima Centauri,-62.67949189414083,768.5004,217.42893801442042,Proxima Centauri b,11.13
TRAPPIST-1,-5.04139769179028,80.4512,346.6223683553692,TRAPPIST-1b,18.798
K2-3,-1.45479994735444,22.661,172.3349658083729,K2-3b,12.17
K2-18,7.58840478072944,26.2686,172.56049010379877,K2-18b,13.5
Wolf 1061,-12.66258978755222,232.2095,247.57524250445124,Wolf 1061c,10.072
Kepler-174,43.83208303321889,2.5702,287.43917794320043,Kepler-174d,12.184
