col0,col1,col2,col3,col4,col5,col6
Erfurt,Ilversgehofen,Germany,Kreis Erfurt-Land,269.91,Nesse,UTC+02:00
Gdańsk,Chełm,Poland,Free City of Danzig,262,Gdańsk University of Technology,Central European Time
Göttingen,Knutbühren,Germany,Göttingen district,116.93,Weende,UTC+02:00
Gdańsk,Chełm,Poland,Free City of Danzig,262,Gdańsk University of Technology,UTC+01:00
Berlin,Marzahn-Hellersdorf,Germany,Germany,891.12,Havel,Central European Time
Erfurt,Daberstedt,Germany,Thuringia,269.91,Gera,UTC+02:00
Hanover,Misburg-Anderten,Germany,Lower Saxony,204.3,Ihme,UTC+02:00
Erfurt,Daberstedt,Germany,Thuringia,269.91,Nesse,UTC+02:00
Hanover,Misburg-Anderten,Germany,Lower Saxony,204.3,Mittelland Canal,UTC+02:00
Hamburg,Altona,Germany,Bouches-de-l'Elbe,755.09,Alster,UTC+02:00
Erfurt,Hochheim (Erfurt),Germany,Kreis Erfurt-Land,269.91,Nesse,UTC+02:00
Osnabrück,Wüste,Germany,Osnabrück,119.8,Hase,Central European Summer Time
Brandenburg an der Havel,"Göttin, Brandenburg",Germany,Bishopric of Brandenburg,228.8,Havel,UTC+02:00
Erfurt,Hochheim (Erfurt),Germany,Erfurt Government Region,269.91,Nesse,UTC+01:00
