col0,col1,col2,col3
Experiment IV / Wuthering Heights,Kate Bush,hit single,Rate Your Music
And So Is Love / Rubberband Girl,Kate Bush,hit single,Rate Your Music
Hammer Horror / Coffee Homeground,Kate Bush,hit single,Rate Your Music
The Man with the Child in His Eyes / Moving,Kate Bush,hit single,Rate Your Music
The Dreaming / Dreamtime,Kate Bush,hit single,Rate Your Music
Sat In Your Lap / Lord Of The Reedy River,Kate Bush,hit single,Rate Your Music
Hounds Of Love / The Handsome Cabin Boy,Kate Bush,hit single,Rate Your Music
December Will Be Magic Again / Warm And Soothing,Kate Bush,hit single,Rate Your Music
Cloudbusting / Burning Bridge,Kate Bush,hit single,Rate Your Music
Babooshka / Ran Tan Waltz,Kate Bush,hit single,Rate Your Music
