col0,col1,col2,col3,col4,col5
Czech Republic,Prime Minister of the Czech Republic,outline of the Czech Republic,1.46,Slovaks,President of the Czech Republic
Albania,Prime Minister of Albania,outline of Albania,1.784,Roma people,President of Albania
India,Prime Minister of India,outline of India,2.427,Dravida,President of India
Azerbaijan,Prime Minister of Azerbaijan,outline of Azerbaijan,2,Russians,President of Azerbaijan
Singapore,Prime Minister of Singapore,outline of Singapore,1.25,Chinese Singaporeans,President of Singapore
Egypt,Prime Minister of Egypt,outline of Egypt,3.338,Egyptians,President of Egypt
Canada,Prime Minister of Canada,outline of Canada,1.61,First Nations,monarch of Canada
United Kingdom,Prime Minister of the United Kingdom,outline of the United Kingdom,1.83,British Pakistanis,monarch of the United Kingdom
Spain,Prime Minister of Spain,outline of Spain,1.27,Spaniards,King of Spain
Greece,Prime Minister of Greece,outline of Greece,1.3,Greeks,President of Greece
Ethiopia,Prime Minister of Ethiopia,outline of Ethiopia,4.395,Afar people,President of Ethiopia
Czech Republic,Prime Minister of the Czech Republic,outline of the Czech Republic,1.46,Czechs,President of the Czech Republic
