col0,col1,col2,col3,col4,col5
Jupiter,Mars,Juno,religion in ancient Rome,Brockhaus and Efron Encyclopedic Dictionary,male
Aurora,Auster,Sol,religion in ancient Rome,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru,female
Ops,Neptune,Saturn,Sabines,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru,female
Aurora,Auster,Sol,religion in ancient Rome,Great Soviet Encyclopedia (1926–1947),female
Ops,Neptune,Saturn,Sabines,New Encyclopedic Dictionary,female
Aurora,Auster,Sol,religion in ancient Rome,Small Brockhaus and Efron Encyclopedic Dictionary,female
Ops,Neptune,Saturn,Sabines,Small Brockhaus and Efron Encyclopedic Dictionary,female
Aurora,Auster,Sol,religion in ancient Rome,Brockhaus and Efron Encyclopedic Dictionary,female
Ops,Neptune,Saturn,Sabines,Brockhaus and Efron Encyclopedic Dictionary,female
Saturn,Neptune,Ops,religion in ancient Rome,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru,male
Jupiter,Apollo,Vesta,religion in ancient Rome,"Explanatory Dictionary of the Living Great Russian Language, Second Edition",male
Saturn,Neptune,Ops,religion in ancient Rome,Small Brockhaus and Efron Encyclopedic Dictionary,male
Jupiter,Iuventas,Vesta,religion in ancient Rome,Bible Encyclopedia of Archimandrite Nicephorus,male
Saturn,Neptune,Ops,religion in ancient Rome,Brockhaus and Efron Encyclopedic Dictionary,male
