col0,col1,col2,col3
Sound board,Brockhaus and Efron Encyclopedic Dictionary,sound box,music term
sixth,Brockhaus and Efron Encyclopedic Dictionary,interval,music term
seventh,Brockhaus and Efron Encyclopedic Dictionary,interval,music term
rest,Riemann's Music Dictionary (1901–1904),silence,music term
musical form,Brockhaus and Efron Encyclopedic Dictionary,form,music term
coda,Brockhaus and Efron Encyclopedic Dictionary,conclusion,music term
transposition,Armenian Soviet Encyclopedia,symmetry of music,music term
passacaglia,Brockhaus and Efron Encyclopedic Dictionary,dance,music term
basso continuo,Armenian Soviet Encyclopedia,musical ensemble consisting solely of instruments,music term
equal temperament,Brockhaus and Efron Encyclopedic Dictionary,musical temperament,music term
pasticcio,Brockhaus and Efron Encyclopedic Dictionary,opera,music term
musical form,Brockhaus and Efron Encyclopedic Dictionary,form,metaclass
basso continuo,Armenian Soviet Encyclopedia,musical ensemble consisting solely of instruments,musical technique
song book,Armenian Soviet Encyclopedia,book,genre
rest,Riemann's Music Dictionary (1901–1904),silence,musical notation
