col0,col1,col2,col3,col4,col5,col6
UW Canis Majoris,2450,4.95,0.6768,eclipsing binary star,-24.5586977276355,Beta Lyrae variable
HD 14956,224,7.2,0.2547,Alpha Cygni variable,57.6791794111374,pulsating variable star
10 Persei,178,6.26,0.3147,Alpha Cygni variable,56.6098214384075,pulsating variable star
55 Cygni,148,4.86,0.8496,Alpha Cygni variable,46.1141344352363,pulsating variable star
Kappa Cassiopeiae,280,4.16,1.9199,Alpha Cygni variable,62.93178260389,pulsating variable star
CS Camelopardalis,45,4.22,1.336,Alpha Cygni variable,59.9403370179231,pulsating variable star
Alnilam,700,1.69,1.65,Alpha Cygni variable,-1.201919136,pulsating variable star
Rigel,56,0.13,3.78,Alpha Cygni variable,-8.201638365,pulsating variable star
55 Cygni,148,4.86,0.8496,Alpha Cygni variable,46.1141344352363,binary star
CS Camelopardalis,45,4.22,1.336,Alpha Cygni variable,59.9403370179231,binary star
