col0,col1,col2,col3
World Esperanto Congress 1927,1927-07-28,World Esperanto Congress 1926,World Congress of Esperanto
World Esperanto Congress 2015,2015-07-25,World Esperanto Congress 2014,World Congress of Esperanto
World Esperanto Congress 2014,2014-07-26,World Esperanto Congress 2013,World Congress of Esperanto
World Esperanto Congress 2012,2012-07-28,World Esperanto Congress 2011,World Congress of Esperanto
World Esperanto Congress 2007,2007-08-04,World Esperanto Congress 2006,World Congress of Esperanto
World Esperanto Congress 2010,2010-07-17,World Esperanto Congress 2009,World Congress of Esperanto
World Esperanto Congress 2005,2005-07-23,World Esperanto Congress 2004,World Congress of Esperanto
World Esperanto Congress 2003,2003-07-26,World Esperanto Congress 2002,World Congress of Esperanto
World Esperanto Congress 2001,2001-07-21,World Esperanto Congress 2000,World Congress of Esperanto
World Esperanto Congress 1999,1999-07-31,World Esperanto Congress 1998,World Congress of Esperanto
World Esperanto Congress 1992,1992-07-25,World Esperanto Congress 1991,World Congress of Esperanto
World Esperanto Congress 1995,1995-07-22,World Esperanto Congress 1994,World Congress of Esperanto
