col0,col1,col2,col3,col4,col5,col6
GSAT-19E,3136,geostationary orbit,Geosynchronous Satellite Launch Vehicle Mark III,communications satellite,India,Satish Dhawan Space Centre Second Launch Pad
INSAT-2D,2079,geostationary orbit,Ariane 4,communications satellite,India,ELA-2
INSAT-2C,2106,geostationary orbit,Ariane 4,communications satellite,India,ELA-2
INSAT-1D,1190,geostationary orbit,Delta 4000,communications satellite,India,Cape Canaveral Air Force Station Space Launch Complex 17
BSAT-4a,3520,geostationary orbit,Ariane 5ECA,artificial satellite,Japan,ELA-3
SES-14,4423,geostationary orbit,Ariane 5ECA,artificial satellite,Brazil,ELA-3
Superbird-B3,5348,geostationary orbit,Ariane 5ECA,artificial satellite,Japan,ELA-3
HYLAS-4,4050,geostationary orbit,Ariane 5ECA,artificial satellite,United Kingdom,ELA-3
GSAT-11,5854,geostationary orbit,Ariane 5ECA,geosynchronous satellite,India,ELA-3
INSAT-4E,2117,geostationary transfer orbit,Geosynchronous Satellite Launch Vehicle Mark II,communications satellite,India,Satish Dhawan Space Centre Second Launch Pad
INSAT-3E,2775,geostationary orbit,Ariane 5,communications satellite,India,ELA-3
INSAT-4CR,2130,geostationary transfer orbit,Geosynchronous Satellite Launch Vehicle Mark I,communications satellite,India,Satish Dhawan Space Centre Second Launch Pad
