col0,col1,col2,col3
Heritage Park School,special school,2005-09-01,Sheffield
Hamilton School,special school,1997-02-26,Handsworth
Woodbridge College,special school,2018-09-01,Bolton
Victoria College,special school,2018-09-01,Northfield
Elmwood School,special school,2008-01-01,Walsall
Seven Hills School,special school,2008-09-01,Sheffield
Riverside School,special school,2007-09-01,Orpington
Evergreen Primary School,special school,2005-09-01,Bishop Auckland
The Orchard School,special school,2000-09-01,Oldbury
The Meadows School,special school,2000-09-01,Sandwell
