col0,col1,col2,col3
Shaţīb Şumaydah,Libya,20,Libya
Shaţīb Zarb al Layl,Libya,364,Libya
Shaţīb Waddān,Libya,684,Libya
Shaţīb Ummī Zaynah,Libya,440,Libya
Shaţīb Ummahāt al Ḩallāb,Libya,63,Libya
Shaţīb Umm Ḩunayk,Libya,24,Libya
Shaţīb Umm aţ Ţulayḩ,Libya,342,Libya
Shaţīb Umm ash Shanīn,Libya,597,Libya
Shaţīb Umm al Juḩāf,Libya,330,Libya
Shaţīb Umm al Jidārī,Libya,395,Libya
Shaţīb Umm al Bāshim,Libya,450,Libya
Shaţīb Thalāthīn,Libya,342,Libya
Shaţīb Sīrat Bulaymah,Libya,419,Libya
Shaţīb Qar‘āt an Nawā'il,Libya,612,Libya
