col0,col1,col2,col3,col4
USS Croatan,United States of America,Bogue-class escort carrier,escort carrier,World War II
USS Tripoli,United States of America,Casablanca class escort carrier,escort carrier,World War II
USS Bismarck Sea,United States of America,Casablanca class escort carrier,escort carrier,World War II
USS Charger,United States of America,Avenger class escort carrier,escort carrier,World War II
USS Gambier Bay,United States of America,Casablanca class escort carrier,escort carrier,World War II
Chūyō,Empire of Japan,Taiyō-class escort carrier,escort carrier,World War II
USS Sangamon,United States of America,Sangamon class escort carrier,escort carrier,World War II
HMS Chaser,United States of America,Attacker-class escort carrier,escort carrier,World War II
HMS Hunter,United States of America,Attacker-class escort carrier,escort carrier,World War II
USS Saginaw Bay,United States of America,Casablanca class escort carrier,escort carrier,World War II
USS Bogue,United States of America,Bogue-class escort carrier,escort carrier,World War II
HMS Fencer,United States of America,Attacker-class escort carrier,escort carrier,World War II
