col0,col1,col2,col3,col4,col5
Luberon Regional Nature Park,Vaucluse,Global Geoparks Network,regional natural park,France,1977-10-01
Hong Kong UNESCO Global Geopark,Hong Kong,Global Geoparks Network,geopark,People's Republic of China,2009-01-01
Hexigten Global Geopark,Hexigten Banner,Global Geoparks Network,geopark,People's Republic of China,2001-01-01
Luberon Regional Nature Park,Vaucluse,Global Geoparks Network,geopark,France,1977-10-01
Papuk Geopark,Virovitica-Podravina County,Global Geoparks Network,geopark,Croatia,2007-09-01
Vulkanland Eifel Geopark,Rhineland-Palatinate,Global Geoparks Network,geopark,Germany,2005-01-01
Mount Sanqing,Jiangxi,Global Geoparks Network,geopark,People's Republic of China,2008-01-01
Cilento and Vallo di Diano National Park,Province of Salerno,Global Geoparks Network,geopark,Italy,1991-12-06
Cabo de Gata-Níjar Natural Park,Almería Province,Global Geoparks Network,geopark,Spain,1997-01-01
Muroto,Kōchi Prefecture,Global Geoparks Network,geopark,Japan,1951-01-01
Vikos–Aoös National Park,Epirus Region,Global Geoparks Network,geopark,Greece,1973-01-01
Cabo de Gata-Níjar Natural Park,Almería Province,Global Geoparks Network,nature park,Spain,1997-01-01
