col0,col1,col2,col3
Tsuba-EO 2708,tsuba,crane,Guimet Museum
Tsuba-EO 3191,tsuba,crane,Guimet Museum
tsuba-MG 6162,tsuba,sake,Guimet Museum
tsuba-MG 25474,tsuba,flower,Guimet Museum
tsuba-EO 334,tsuba,hand fan,Guimet Museum
tsuba-EO 3146,tsuba,carp,Guimet Museum
tsuba-EO 3107,tsuba,Chrysanthemum,Guimet Museum
tsuba-EO 2922,tsuba,ship,Guimet Museum
tsuba-EO 2729,tsuba,basketry,Guimet Museum
tsuba-EO 2721,tsuba,flower,Guimet Museum
tsuba-EO 2373,tsuba,Haliotis,Guimet Museum
tsuba-EO 2369,tsuba,Paulownia,Guimet Museum
tsuba-EO 2368,tsuba,butterfly,Guimet Museum
tsuba-MG 9334,tsuba,eggplant,Guimet Museum
tsuba-EO 611,tsuba,crane,Guimet Museum
