col0,col1,col2,col3
1986 Cincinnati Open,United States of America,tennis tournament edition,1985 Cincinnati Open
2007 Western & Southern Financial Group Masters and Women's Open,United States of America,tennis tournament edition,2006 Western & Southern Financial Group Masters and Women's Open
2011 Western & Southern Open,United States of America,tennis tournament edition,2010 Western & Southern Financial Group Masters and Women's Open
2010 Western & Southern Financial Group Masters and Women's Open,United States of America,tennis tournament edition,2009 Western & Southern Financial Group Masters and Women's Open
2012 Western & Southern Open,United States of America,tennis tournament edition,2011 Western & Southern Open
1989 Cincinnati Open,United States of America,tennis tournament edition,1988 Cincinnati Open
1999 Great American Insurance ATP Championships,United States of America,tennis tournament edition,1998 Great American Insurance ATP Championships
2008 Western & Southern Financial Group Masters and Women's Open,United States of America,tennis tournament edition,2007 Western & Southern Financial Group Masters and Women's Open
2005 Western & Southern Financial Group Masters and Women's Open,United States of America,tennis tournament edition,2004 Western & Southern Financial Group Masters
1991 Thriftway ATP Championships,United States of America,ATP Cincinnati,1990 Thriftway ATP Championships
2001 Cincinnati Masters,United States of America,ATP Cincinnati,2000 Cincinnati Masters
