col0,col1,col2,col3
Botnia Hall,athletics,Korsholm,exhibition hall
Royal Commonwealth Pool,swimming,City of Edinburgh,sports centre
GETEC Arena,handball,Magdeburg,event venue
Asahikawa Taisetsu Arena,futsal,Asahikawa,ice rink
La Patinoire Municipale,ice hockey,Grenoble,ice rink
Hermann-Gieseler-Halle,badminton,Magdeburg,sports building
Clermont-Ferrand Sports Hall,basketball,Clermont-Ferrand,concert hall
Sud de France Arena,handball,Pérols,concert hall
Asahikawa Taisetsu Arena,futsal,Asahikawa,arena
Sud de France Arena,handball,Pérols,arena
Stade Pierre de Coubertin,tennis,Paris,stadium
Botnia Hall,athletics,Korsholm,gymnasium
Asahikawa Taisetsu Arena,futsal,Asahikawa,gymnasium
Volleyballhalle,volleyball,Munich,gymnasium
Royal Commonwealth Pool,swimming,City of Edinburgh,gymnasium
