col0,col1,col2,col3
Phoenix,1626078,Sachs-Webster House,1868-01-01
Little Rock,193524,Robinson Center,1821-06-01
Birmingham,212237,Regions Field,1871-01-01
Little Rock,193524,Ray Winder Field,1821-06-01
Lincoln,280364,Pershing Center,1856-01-01
Allentown,118032,PPL Center,1762-01-01
Phoenix,1626078,PHX Sky Train,1868-01-01
Sacramento,485199,Golden 1 Center,1849-01-01
Mobile,195111,Mobile Civic Center,1702-01-01
Harrisburg,49528,FNB Field,1719-01-01
Little Rock,193524,Little Rock Zoo,1821-06-01
Akron,199110,League Park,1825-01-01
Helena,32315,Kindrick Field,1864-10-30
Pine Bluff,55085,Grider Field,1839-01-08
