col0,col1,col2,col3,col4
1932–33 Czechoslovakia men's national ice hockey team season,1932-1933 one-year-period,1933-01-01,1932-01-01,Czechoslovakia men's national ice hockey team
1931–32 Czechoslovakia men's national ice hockey team season,1931-1932 one-year-period,1932-01-01,1931-01-01,Czechoslovakia men's national ice hockey team
1930–31 Czechoslovakia men's national ice hockey team season,1930-1931 one-year-period,1931-01-01,1930-01-01,Czechoslovakia men's national ice hockey team
1929–30 Czechoslovakia men's national ice hockey team season,1929-1930 one-year-period,1930-01-01,1929-01-01,Czechoslovakia men's national ice hockey team
1928–29 Czechoslovakia men's national ice hockey team season,1928-1929 one-year-period,1929-01-01,1928-01-01,Czechoslovakia men's national ice hockey team
1927–28 Czechoslovakia men's national ice hockey team season,1927-1928 one-year-period,1928-01-01,1927-01-01,Czechoslovakia men's national ice hockey team
1926–27 Czechoslovakia men's national ice hockey team season,1926-1927 one-year-period,1927-01-01,1926-01-01,Czechoslovakia men's national ice hockey team
1925–26 Czechoslovakia men's national ice hockey team season,1925-1926 one-year-period,1926-01-01,1925-01-01,Czechoslovakia men's national ice hockey team
1924–25 Czechoslovakia men's national ice hockey team season,1924-1925 one-year-period,1925-01-01,1924-01-01,Czechoslovakia men's national ice hockey team
1923–24 Czechoslovakia men's national ice hockey team season,1923-1924 one-year-period,1924-01-01,1923-01-01,Czechoslovakia men's national ice hockey team
1922–23 Czechoslovakia men's national ice hockey team season,1922-1923 one-year-period,1923-01-01,1922-01-01,Czechoslovakia men's national ice hockey team
1921–22 Czechoslovakia men's national ice hockey team season,1921-1922 one-year-period,1922-01-01,1921-01-01,Czechoslovakia men's national ice hockey team
1920–21 Czechoslovakia men's national ice hockey team season,1920-1921 one-year-period,1921-01-01,1920-01-01,Czechoslovakia men's national ice hockey team
