col0,col1,col2,col3
Myanmar,69322122755.8536,53259018,State Counsellor of Myanmar
Chad,9981303726.23281,11039873,Prime Minister of Chad
Antigua and Barbuda,1532397555.55556,100963,Prime Minister of Antigua and Barbuda
Barbados,4796845980.8226,284644,Prime Minister of Barbados
Romania,186690595270,19586539,Prime Minister of Romania
Lebanon,51844487742.0232,4467390,Prime Minister of Lebanon
Kenya,74938190654.8558,48468138,President of Kenya
Honduras,22978532896.7816,8097688,President of Honduras
Argentina,637590419269.324,44938712,President of Argentina
Venezuela,482359318767.703,28515829,President of Venezuela
Indonesia,1015539017536.5,263991379,President of Indonesia
Syria,60200000000,19809141,Prime Minister of Syria
Jordan,40068308516.2755,10428241,Prime Minister of Jordan
North Korea,16282601357,24052231,Premier of North Korea
