col0,col1,col2,col3
Moinho da Quinta da Palmeira,"Seixal, Arrentela e Aldeia de Paio Pires",Aldeia de Paio Pires,Portugal
Moinho do Zemoto,"Seixal, Arrentela e Aldeia de Paio Pires",Aldeia de Paio Pires,Portugal
mulino Forti,Borghetto Lodigiano,Casoni,Italy
Mairano Mill,Casaletto Lodigiano,Mairano,Italy
Cà dell’Acqua Mill,Borgo San Giovanni,Cà dell’Acqua,Italy
Basiasco mill,Mairago,Basiasco,Italy
Molen De Ronne,Gavere,Semmerzake,Belgium
De Noord,Purmerend,Purmerend,Netherlands
Nacka 223,Nacka Municipality,Nacka socken,Sweden
Rindleford Mill,Worfield,Rindleford,United Kingdom
Oude Molen,Simpelveld,Simpelveld,Netherlands
De Hoop,Dongen,Dongen,Netherlands
Laaghuismolen,Venlo,Venlo,Netherlands
