col0,col1,col2,col3,col4
2MASS J07003664+3157266,2100,105.15298618895709,29.91,star
2MASS J06320617+8305014,1900,98.0255343238333,9.9,star
2MASS J05002100+0330501,1600,75.0875531777627,9.65,star
2MASS J03552337+1133437,1500,58.8474050897379,12.31,star
2MASS J11553952-3727350,2200,178.9147334949134,13.61,infrared source
2MASSI J1300425+191235,2200,195.17711597422084,12.83,brown dwarf
2MASS J11553952-3727350,2200,178.9147334949134,13.61,brown dwarf
2MASSI J1108307+683017,1700,167.128228991062,26.03,brown dwarf
2MASS J09211410-2104446,2000,140.3087825205926,11.95,brown dwarf
2MUCD 20333,2000,137.8040346528555,12.18,brown dwarf
2MASS J11553952-3727350,2200,178.9147334949134,13.61,star
