col0,col1,col2,col3
2013 World Aquatics Championships,Port Vell,Barcelona,open water swimming
2003 World Aquatics Championships,Port Vell,Barcelona,open water swimming
2013 World Aquatics Championships,Palau Sant Jordi,Barcelona,open water swimming
2003 World Aquatics Championships,Palau Sant Jordi,Barcelona,open water swimming
2013 World Aquatics Championships,Barcelona,Barcelona,open water swimming
2003 World Aquatics Championships,Barcelona,Barcelona,open water swimming
2009 World Aquatics Championships,Rome,Rome,open water swimming
2011 World Aquatics Championships,Shanghai,Shanghai,synchronized swimming
1973 World Aquatics Championships,Belgrade,Belgrade,synchronized swimming
1998 World Aquatics Championships,Perth,Perth,synchronized swimming
1986 World Aquatics Championships,M86 Swimming Center,Barcelona,synchronized swimming
