col0,col1,col2,col3
GNU Mailman,Corporation for National Research Initiatives,GNU package,C
MIT/GNU Scheme,Massachusetts Institute of Technology,GNU package,Scheme
GNU Linux-libre,GNU Project,GNU package,C
MediaGoblin,GNU Project,GNU package,Python
GNU readline,Brian Fox,GNU package,C
Wget,GNU Project,GNU package,C
groff,James Clark,GNU package,C++
GNU Bash,GNU Project,GNU package,C
GNUstep,GNU Project,GNU package,Objective-C
GNU Hurd,GNU Project,GNU package,C
GIMP,GNOME Foundation,GNU package,C
Wget,GNU Project,HTTP client,C
GIMP,GNOME Foundation,raster graphics editor,C
GNU Midnight Commander,GNU Project,orthodox file manager,C
MediaGoblin,GNU Project,server software,Python
