col0,col1,col2,col3
2018 Ronde van Drenthe,road bicycle racing,Preben Van Hecke,2019 Ronde van Drenthe
2002 Ronde van Drenthe,road bicycle racing,Rudie Kemna,2003 Ronde van Drenthe
2000 Ronde van Drenthe,road bicycle racing,Andy De Smet,2002 Ronde van Drenthe
1999 Ronde van Drenthe,road bicycle racing,Rudie Kemna,2000 Ronde van Drenthe
1998 Ronde van Drenthe,road bicycle racing,Paul van Schalen,1999 Ronde van Drenthe
1997 Ronde van Drenthe,road bicycle racing,Louis de Koning,1998 Ronde van Drenthe
2017 Ronde van Drenthe,road bicycle racing,Jasper De Buyst,2018 Ronde van Drenthe
2016 Ronde van Drenthe,road bicycle racing,Mark McNally,2017 Ronde van Drenthe
2015 Ronde van Drenthe,road bicycle racing,Bert-Jan Lindeman,2016 Ronde van Drenthe
2014 Ronde van Drenthe,road bicycle racing,Bert-Jan Lindeman,2015 Ronde van Drenthe
2013 Ronde van Drenthe,road bicycle racing,Andreas Schillinger,2014 Ronde van Drenthe
2009 Ronde van Drenthe,road bicycle racing,Grega Bole,2010 Ronde van Drenthe
2008 Ronde van Drenthe,road bicycle racing,Coen Vermeltfoort,2009 Ronde van Drenthe
