col0,col1,col2,col3
"2018 Tour of Britain, stage 5",2018-09-06,road bicycle racing,"2018 Tour of Britain, stage 4"
"2018 Tour de l'Avenir, stage 4",2018-08-20,road bicycle racing,"2018 Tour de l'Avenir, stage 3"
"2018 Sibiu Cycling Tour, stage 3A",2018-07-08,road bicycle racing,"2018 Sibiu Cycling Tour , stage 2"
"2018 Healthy Ageing Tour, Stage 3b",2018-04-06,road bicycle racing,"2018 Healthy Ageing Tour, Stage 3a"
"2018 Settimana Internazionale di Coppi e Bartali, Stage 1b",2018-03-22,road bicycle racing,"2018 Settimana Internazionale di Coppi e Bartali, Stage 1a"
2018 Vuelta del Uruguay stage 2a,2018-03-24,road bicycle racing,2018 Vuelta del Uruguay stage 1
2018 Critérium du Dauphiné stage 3,2018-06-06,road bicycle racing,2018 Critérium du Dauphiné stage 2
"2018 Volta a la Comunitat Valenciana, Stage 3",2018-02-02,road bicycle racing,"2018 Volta a la Comunitat Valenciana, Stage 2"
2017 Vuelta Ciclista del Uruguay Stage 3B,2017-04-09,road bicycle racing,2017 Vuelta Ciclista del Uruguay Stage 3A
"2017 Vuelta a Guatemala, Stage 3 phase B",2017-10-25,road bicycle racing,"2017 Vuelta a Guatemala, Stage 3 phase A"
