col0,col1,col2,col3
Ice Harbor Dam,Snake River,Lake Sacajawea,860
Ruskin Dam,Stave River,Hayward Lake,125
Itaipu Binacional,Paraná River,Itaipu Reservoir,7700
Three Gorges Dam,Yangtze,Three Gorges Reservoir Region,2335
The Dalles Dam,Columbia River,Lake Celilo,2662
Priest Rapids Dam,Columbia River,Priest Rapids Lake,3079
McNary Dam,Columbia River,Lake Wallula,2245
Bonneville Dam,Columbia River,Lake Bonneville,1056
Grande Dixence Dam,Dixence,Lac des Dix,700
Guri Dam,Caroní River,Guri Reservoir,1300
Canyon Ferry Dam,Missouri River,Canyon Ferry Lake,305
