col0,col1,col2,col3,col4,col5
2013 Brazil International Badminton Championships,2013-01-01,Brazil International Badminton Championships,2012 Brazil International Badminton Championships,badminton,2013-10-02
2005 Brazil International Badminton Championships,2005-01-01,Brazil International Badminton Championships,2004 Brazil International Badminton Championships,badminton,2005-10-13
2012 Brazil International Badminton Championships,2012-01-01,Brazil International Badminton Championships,2011 Brazil International Badminton Championships,badminton,2012-09-26
2011 Brazil International Badminton Championships,2011-01-01,Brazil International Badminton Championships,2010 Brazil International Badminton Championships,badminton,2011-09-21
2010 Brazil International Badminton Championships,2010-01-01,Brazil International Badminton Championships,2009 Brazil International Badminton Championships,badminton,2010-10-07
2009 Brazil International Badminton Championships,2009-01-01,Brazil International Badminton Championships,2008 Brazil International Badminton Championships,badminton,2009-10-08
2008 Brazil International Badminton Championships,2008-01-01,Brazil International Badminton Championships,2007 Brazil International Badminton Championships,badminton,2008-10-11
2004 Brazil International Badminton Championships,2004-01-01,Brazil International Badminton Championships,2003 Brazil International Badminton Championships,badminton,2004-10-09
2003 Brazil International Badminton Championships,2003-01-01,Brazil International Badminton Championships,2002 Brazil International Badminton Championships,badminton,2003-10-09
2002 Brazil International Badminton Championships,2002-01-01,Brazil International Badminton Championships,2001 Brazil International Badminton Championships,badminton,2002-10-10
2001 Brazil International Badminton Championships,2001-01-01,Brazil International Badminton Championships,2000 Brazil International Badminton Championships,badminton,2001-10-11
2000 Brazil International Badminton Championships,2000-01-01,Brazil International Badminton Championships,1999 Brazil International Badminton Championships,badminton,2000-11-16
1999 Brazil International Badminton Championships,1999-01-01,Brazil International Badminton Championships,1998 Brazil International Badminton Championships,badminton,1999-10-09
1998 Brazil International Badminton Championships,1998-01-01,Brazil International Badminton Championships,1997 Brazil International Badminton Championships,badminton,1998-10-09
