col0,col1,col2,col3
Wikipedia App,Java,Wikimedia Foundation,mobile app
Aeolus,Ruby,Red Hat,computer program
Logic Theorist,Information Processing Language,Herbert Alexander Simon,computer program
Wikipedia App,Java,Wikimedia Foundation,computer program
MKVToolNix,C++,Moritz Bunkus,computer program
Google Update,C++,Google,computer program
Zend Studio,Java,Zend Technologies,integrated development environment
MKVToolNix,C++,Moritz Bunkus,free software
Google Update,C++,Google,free software
GNU Parted,C,GNU Project,GNU package
Cyc,Lisp,Douglas B. Lenat,knowledge base
SHRDLU,Maclisp,Terry Winograd,computer program
GNU Parted,C,GNU Project,computer program
Cyc,Lisp,Douglas B. Lenat,computer program
