col0,col1,col2,col3,col4
Pastoralistes et la ville au Bénin: Livelihoods en questionnement,French,2009-01-01,pastoralism,Leiden
Making decentralization work for women in Uganda,English,2009-01-01,local government,Leiden
Participation for local development : the reality of decentralisation in Tanzania,English,2010-01-01,Community Participation,Leiden
"Kfaang and its technologies: towards a social history of mobility in Kom, Cameroon, 1928-1998",English,2011-01-01,Kom people,Leiden
"From idol to art : African 'objects with power': a challenge for missionaries, anthropologists and museum curators",English,2015-01-01,cult image,Leiden
"Farmers on the move : mobility, access to land and conflict in Central and South Mali",English,2013-01-01,land owner,Leiden
"""I don't tell my husband about vegetable sales"" : gender dynamics in urban agriculture in Eldoret, Kenya",English,2012-01-01,urban agriculture,Leiden
"Plurality of religion, plurality of justice : exploring the role of religion in disputing processes in Gorongosa, Central Mozambique",English,2010-01-01,legal pluralism,Leiden
"Plantations, power and people : two case studies of restructuring South Africa's forestry sector",English,2008-01-01,silviculture,Leiden
Pastoralistes et la ville au Bénin: Livelihoods en questionnement,French,2009-01-01,Fula people,Leiden
