col0,col1,col2,col3,col4
Canzoniere/Poem I,Italy,Italian,poetry,poetry
"Lancelot, the Knight of the Cart",France,Old French,written work,novel
Nālaṭiyār,India,Tamil,literary work,poetry
The Little Humpbacked Horse,Russian Empire,Russian,Russian fairy tales,fairy tale
"Lancelot, the Knight of the Cart",France,Old French,poetry,novel
The Little Humpbacked Horse,Russian Empire,Russian,poetry,fairy tale
mattina,Italy,Italian,poetry,poetry
The Golden Ass,Italy,Italian,poetry,poem
Pianto della Madonna,Italy,Italian,poetry,poetry
Nālaṭiyār,India,Tamil,poetry,poetry
