col0,col1,col2,col3,col4,col5
2008 Tirreno–Adriatico,Italy,2009 Tirreno–Adriatico,Columbia 2008,San Benedetto del Tronto,road bicycle racing
1968 Tirreno–Adriatico,Italy,1969 Tirreno–Adriatico,Italo Zilioli,San Benedetto del Tronto,road bicycle racing
2010 Tirreno–Adriatico,Italy,2011 Tirreno–Adriatico,Lampre-Farnese Vini 2010,San Benedetto del Tronto,road bicycle racing
1969 Tirreno–Adriatico,Italy,1970 Tirreno–Adriatico,Carlo Chiappano,San Benedetto del Tronto,road bicycle racing
1967 Tirreno–Adriatico,Italy,1968 Tirreno–Adriatico,Vito Taccone,San Benedetto del Tronto,road bicycle racing
2011 Tirreno–Adriatico,Italy,2012 Tirreno–Adriatico,Liquigas-Cannondale 2011,San Benedetto del Tronto,road bicycle racing
1967 Tirreno–Adriatico,Italy,1968 Tirreno–Adriatico,Carmine Preziosi,San Benedetto del Tronto,road bicycle racing
1973 Tirreno–Adriatico,Italy,1974 Tirreno–Adriatico,Frans Verbeeck,San Benedetto del Tronto,road bicycle racing
2013 Tirreno–Adriatico,Italy,2014 Tirreno–Adriatico,Michał Kwiatkowski,San Benedetto del Tronto,road bicycle racing
1969 Tirreno–Adriatico,Italy,1970 Tirreno–Adriatico,Giuseppe Fezzardi,San Benedetto del Tronto,road bicycle racing
2010 Tirreno–Adriatico,Italy,2011 Tirreno–Adriatico,Dmytro Grabovskyy,San Benedetto del Tronto,road bicycle racing
1972 Tirreno–Adriatico,Italy,1973 Tirreno–Adriatico,Josef Fuchs,San Benedetto del Tronto,road bicycle racing
2013 Tirreno–Adriatico,Italy,2014 Tirreno–Adriatico,2012 Movistar Team season,San Benedetto del Tronto,road bicycle racing
1972 Tirreno–Adriatico,Italy,1973 Tirreno–Adriatico,Gianni Motta,San Benedetto del Tronto,road bicycle racing
1983 Tirreno–Adriatico,Italy,1984 Tirreno–Adriatico,Roberto Visentini,San Benedetto del Tronto,road bicycle racing
