col0,col1,col2,col3,col4
Interview of retired Lieutenant Colonel Jean Schiffman on her career in the U.S. Army Nurse Corps,2004-01-14,Mobile hospital,Ruth F. Stewart,English
Interview of retired Colonel Mary Ruth Pullig on her long career in the U.S. Army Nurse Corps,2003-01-01,Fitzsimons Army Medical Center,Ruth F. Stewart,English
Interview of retired Colonel Patricia Silvestre on her career in the U.S. Army Nurse Corps and service during the Vietnam War,2003-10-22,military nursing,Ruth F. Stewart,English
Interview of retired Colonel Mary Ruth Pullig on her long career in the U.S. Army Nurse Corps,2003-01-01,West Germany,Ruth F. Stewart,English
Interview of retired Lieutenant Colonel Jean Schiffman on her career in the U.S. Army Nurse Corps,2004-01-14,U.S. Army Nurse Corps,Ruth F. Stewart,English
Interview of retired Colonel Patricia Silvestre on her career in the U.S. Army Nurse Corps and service during the Vietnam War,2003-10-22,U.S. Army Nurse Corps,Ruth F. Stewart,English
Interview of retired Colonel Mary Ruth Pullig on her long career in the U.S. Army Nurse Corps,2003-01-01,U.S. Army Nurse Corps,Ruth F. Stewart,English
Interview of retired Lieutenant Colonel Jean Schiffman on her career in the U.S. Army Nurse Corps,2004-01-14,veteran,Ruth F. Stewart,English
Interview of retired Colonel Patricia Silvestre on her career in the U.S. Army Nurse Corps and service during the Vietnam War,2003-10-22,veteran,Ruth F. Stewart,English
Interview of retired Colonel Mary Ruth Pullig on her long career in the U.S. Army Nurse Corps,2003-01-01,veteran,Ruth F. Stewart,English
Interview of retired Lieutenant Colonel Jean Schiffman on her career in the U.S. Army Nurse Corps,2004-01-14,nurse,Ruth F. Stewart,English
Interview of retired Colonel Patricia Silvestre on her career in the U.S. Army Nurse Corps and service during the Vietnam War,2003-10-22,nurse,Ruth F. Stewart,English
Interview of retired Colonel Mary Ruth Pullig on her long career in the U.S. Army Nurse Corps,2003-01-01,learning,Ruth F. Stewart,English
Interview of retired Lieutenant Colonel Jean Schiffman on her career in the U.S. Army Nurse Corps,2004-01-14,surgery,Ruth F. Stewart,English
