col0,col1,col2,col3
Pieces de clavecin,creative work,1670-01-01,public domain
Musica sacra,creative work,1724-01-01,public domain
Luise,creative work,1795-01-01,public domain
Llythur ir Cymru Cariadus,creative work,1653-01-01,public domain
The Farmer's Boy,creative work,1800-01-01,public domain
Dikter,creative work,1916-01-01,public domain
Les Consolations,creative work,1830-01-01,public domain
Criminology,creative work,1924-01-01,public domain
The Greenwich Village Follies of 1920,creative work,1920-01-01,public domain
La Bergerie,creative work,1565-01-01,public domain
The Antichrist,creative work,1876-01-01,public domain
Le Zend-Avesta,creative work,1892-01-01,public domain
The Way to Wealth,creative work,1550-01-01,public domain
