col0,col1,col2,col3,col4,col5
2019 British Grand Prix,Lewis Hamilton,2019-07-14,2019 FIA Formula One World Championship,Formula 1 Rolex British Grand Prix 2019,52
2018 British Grand Prix,Sebastian Vettel,2018-07-08,2018 Formula One World Championship,Formula 1 2018 Rolex British Grand Prix,52
2016 British Grand Prix,Lewis Hamilton,2016-07-10,2016 Formula One season,2016 Formula 1 British Grand Prix,52
2015 British Grand Prix,Lewis Hamilton,2015-07-05,2015 Formula One season,2015 Formula 1 British Grand Prix,52
2014 British Grand Prix,Lewis Hamilton,2014-07-06,2014 Formula One season,2014 Formula 1 Santander British Grand Prix,52
2011 British Grand Prix,Fernando Alonso,2011-07-10,2011 Formula One season,66th Santander British Grand Prix,52
2010 British Grand Prix,Mark Webber,2010-07-11,2010 Formula One season,2010 Formula 1 Santander British Grand Prix,52
2009 British Grand Prix,Sebastian Vettel,2009-06-21,2009 Formula One season,2009 Formula 1 Santander British Grand Prix,60
2008 British Grand Prix,Lewis Hamilton,2008-07-06,2008 Formula One season,Formula 1 Santander British Grand Prix,60
2007 British Grand Prix,Kimi Räikkönen,2007-07-08,2007 Formula One season,2007 Formula 1 Santander British Grand Prix,59
2006 British Grand Prix,Fernando Alonso,2006-06-11,2006 Formula One season,2006 Formula 1 Foster's British Grand Prix,60
2005 British Grand Prix,Juan Pablo Montoya,2005-07-10,2005 Formula One season,LVIII Foster's British Grand Prix,60
2004 British Grand Prix,Michael Schumacher,2004-07-11,2004 Formula One season,LVII Foster's British Grand Prix,60
