col0,col1,col2,col3,col4,col5
Csopak,Hungary,Sovata,Central European Time,Zamárdi,Balatonfüred  District
Budakalász,Hungary,Kahl am Main,Central European Time,Budapest,Szentendre District
Budajenő,Hungary,Gaildorf,Central European Time,Telki,Budakeszi  District
Halásztelek,Hungary,Oggiono,UTC+01:00,Budapest,Szigetszentmiklós District
Bakonycsernye,Hungary,Nova Crnja,UTC+01:00,Nagyveleg,Mór District
Sajóvámos,Hungary,Mýtne Ludany,UTC+01:00,Sajósenye,Miskolc District
Dunaszentgyörgy,Hungary,Ghelința,UTC+01:00,Tengelic,Paks District
Tótvázsony,Hungary,Dobel,Central European Time,Hidegkút,Veszprém  District
Egyek,Hungary,Radzyń Podlaski,Central European Time,Tiszadorogma,Balmazújváros District
Nyúl,Hungary,Győr-Szabadhegy,Central European Time,Töltéstava,Győr  District
Csömör,Hungary,Mojmírovce,Central European Time,Budapest,Gödöllő District
Máriahalom,Hungary,Trochtelfingen,Central European Time,Dág,Esztergom  District
Hetvehely,Hungary,Rafz,Central European Time,Bükkösd,Szentlőrinc  District
