col0,col1,col2,col3,col4,col5,col6
1978 Polish Badminton Championships,1976 Polish Badminton Championships,1978 Polish Badminton Championships – Men's singles,1979 Polish Badminton Championships,badminton,Poland,1978-01-01
1976 Polish Badminton Championships,1975 Polish Badminton Championships,1976 Polish Badminton Championships – Men's singles,1978 Polish Badminton Championships,badminton,Poland,1976-01-01
1975 Polish Badminton Championships,1974 Polish Badminton Championships,1975 Polish Badminton Championships – Men's singles,1976 Polish Badminton Championships,badminton,Poland,1975-01-01
1974 Polish Badminton Championships,1973 Polish Badminton Championships,1974 Polish Badminton Championships – Men's singles,1975 Polish Badminton Championships,badminton,Poland,1974-01-01
1973 Polish Badminton Championships,1972 Polish Badminton Championships,1973 Polish Badminton Championships – Men's singles,1974 Polish Badminton Championships,badminton,Poland,1973-01-01
1996 Polish Badminton Championships,1995 Polish Badminton Championships,1996 Polish Badminton Championships – Men's singles,1997 Polish Badminton Championships,badminton,Poland,1996-01-01
1982 Polish Badminton Championships,1981 Polish Badminton Championships,1982 Polish Badminton Championships – Men's singles,1983 Polish Badminton Championships,badminton,Poland,1982-01-01
2007 Polish Badminton Championships,2006 Polish Badminton Championships,2007 Polish Badminton Championships – Men's singles,2008 Polish Badminton Championships,badminton,Poland,2007-01-01
1985 Polish Badminton Championships,1984 Polish Badminton Championships,1985 Polish Badminton Championships – Men's singles,1986 Polish Badminton Championships,badminton,Poland,1985-01-01
2009 Polish Badminton Championships,2008 Polish Badminton Championships,2009 Polish Badminton Championships – Men's singles,2010 Polish Badminton Championships,badminton,Poland,2009-01-01
