col0,col1,col2,col3
Keilor Plains,Delahey,2002-01-01,543837
Jordanville,Chadstone,1930-05-05,319605
Hoppers Crossing,Werribee,1970-01-01,1132545
Jordanville,Ashwood,1930-05-05,319605
Keilor Plains,St Albans,2002-01-01,543837
Westall,Springvale,1951-02-06,t822819933
Williams Landing,Point Cook,2013-04-28,808525
Yarraman,Noble Park,1976-01-01,281349
Westall,Clayton South,1951-02-06,t822819933
Yarraman,Dandenong,1976-01-01,281349
Westona,Altona,1985-01-01,227634
Hoppers Crossing,Hoppers Crossing,1970-01-01,1132545
