col0,col1,col2,col3,col4,col5
Kemin District,Kemin,3533,Chuy Region,UTC+06:00,Kyrgyzstan
Sokuluk District,Sokuluk,2550,Chuy Region,UTC+06:00,Kyrgyzstan
Alamudun District,Lebedinovka,3028,Chuy Region,UTC+06:00,Kyrgyzstan
Aravan District,Aravan,1340,Osh Region,UTC+06:00,Kyrgyzstan
Nookat District,Nookat,3179,Osh Region,UTC+06:00,Kyrgyzstan
Toguz-Toro District,Kazarman,3816,Osh Region,UTC+06:00,Kyrgyzstan
Chong-Alay District,Daroot-Korgon,4857,Osh Region,UTC+06:00,Kyrgyzstan
Uzgen District,Uzgen,3308,Osh Region,UTC+06:00,Kyrgyzstan
Alay District,Gulcha,6821,Osh Region,UTC+06:00,Kyrgyzstan
Aravan District,Aravan,1340,Kirghiz Soviet Socialist Republic,UTC+06:00,Kyrgyzstan
Kochkor District,Kochkor,5868,Kirghiz Soviet Socialist Republic,UTC+06:00,Kyrgyzstan
At-Bashi District,At-Bashi,15354,Kirghiz Soviet Socialist Republic,UTC+06:00,Kyrgyzstan
