col0,col1,col2,col3,col4,col5
"Gein Zuid 36, Abcoude",Netherlands,farmhouse,Gein-Zuid,Abcoude,Rijksmonument
"Gein Zuid 44, Abcoude",Netherlands,farmhouse,Gein-Zuid,Abcoude,Rijksmonument
"Dorpsstraat 4, Geesteren",Netherlands,farmhouse,Dorpsstraat,Geesteren,Rijksmonument
"Korte Wal 18, Borculo",Netherlands,farmhouse,Korte Wal,Borculo,Rijksmonument
"Zuidzijde 71, Bodegraven",Netherlands,farmhouse,Zuidzijde,Bodegraven,Rijksmonument
"Buitenkerk 61, Bodegraven",Netherlands,farmhouse,Buitenkerk,Bodegraven,Rijksmonument
"Kaathoven 19, Vinkel",Netherlands,farmhouse,Kaathoven,Vinkel,Rijksmonument
De Kleine Wamberg,Netherlands,farmhouse,Wamberg,Berlicum,Rijksmonument
"Roekenes 5, Leersum",Netherlands,farmhouse,Roekenes,Leersum,Rijksmonument
"Langbroekerdijk B 8, Langbroek",Netherlands,farmhouse,Langbroekerdijk B,Langbroek,Rijksmonument
"Langbroekerdijk A 33, Langbroek",Netherlands,farmhouse,Langbroekerdijk A,Langbroek,Rijksmonument
"Langbroekerdijk A 13, Langbroek",Netherlands,farmhouse,Langbroekerdijk A,Langbroek,Rijksmonument
Feitsmastate,Netherlands,farmhouse,Willem Loréweg,Kollum,Rijksmonument
