col0,col1,col2,col3,col4,col5
Albus Dumbledore,Brian,researcher,Harry Potter,Gryffindor,Hogwarts prefect
Hermione Granger,Jean,activist,Harry Potter and the Philosopher's Stone,Gryffindor,Hogwarts prefect
Albus Dumbledore,Brian,researcher,Harry Potter and the Philosopher's Stone,Gryffindor,Hogwarts prefect
Hermione Granger,Jean,activist,Harry Potter and the Goblet of Fire,Gryffindor,Hogwarts prefect
Albus Dumbledore,Brian,researcher,Harry Potter and the Goblet of Fire,Gryffindor,Hogwarts prefect
Hermione Granger,Jean,activist,Harry Potter,Gryffindor,Hogwarts prefect
Albus Dumbledore,Brian,researcher,Harry Potter,Gryffindor,Hogwarts prefect
Hermione Granger,Hermiona,time traveller,Harry Potter,Dumbledore's Army,Hogwarts prefect
Albus Dumbledore,Brian,researcher,Harry Potter,Order of the Phoenix,headmaster of Hogwarts
Hermione Granger,Hermiona,student,Harry Potter,the Slug Club,Hogwarts prefect
Ron Weasley,Ronald,student,Harry Potter and the Cursed Child,Gryffindor,Hogwarts prefect
