col0,col1,col2,col3,col4
Black Sturgeon River Provincial Park,Canada,23531,2002-01-01,Ontario Parks
Dana-Jowsey Lakes Provincial Park,Canada,8794,1989-01-01,Ontario Parks
Black Creek Provincial Park,Canada,335,1989-01-01,Ontario Parks
Port Burwell Provincial Park,Canada,231,1971-01-01,Ontario Parks
Port Bruce Provincial Park,Canada,7,1974-01-01,Ontario Parks
Kopka River Provincial Park,Canada,31205,1989-01-01,Ontario Parks
Little Current River Provincial Park,Canada,9930,1989-01-01,Ontario Parks
Biscotasi Lake Provincial Park,Canada,12283,1989-01-01,Ontario Parks
Komoka Provincial Park,Canada,198,1989-01-01,Ontario Parks
Wanapitei Provincial Park,Canada,3412.85,1985-01-01,Ontario Parks
