col0,col1,col2,col3,col4,col5
Jeghate Castle,"Azizabad, Sabzevar",Iran,national heritage site,Iranian National Heritage,Sabzevar County
Mrs. Kian House,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Tomb of Boghrat,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Aldaghi House,Sabzevar,Iran,national heritage site,Iranian National Heritage,Sabzevar County
Afchangi House,Sabzevar,Iran,historic house,Iranian National Heritage,Sabzevar County
Ovlia House,Sabzevar,Iran,historic house,Iranian National Heritage,Sabzevar County
Shari'atmadar House,Sabzevar,Iran,historic house,Iranian National Heritage,Sabzevar County
Mahmoud Dowlatabadi House,"Dowlatabad, Sabzevar",Iran,historic house,Iranian National Heritage,Sabzevar County
Sadidi House,Sabzevar,Iran,historic house,Iranian National Heritage,Sabzevar County
Shari'atmadar House 2,Sabzevar,Iran,historic house,Iranian National Heritage,Sabzevar County
