col0,col1,col2,col3,col4,col5,col6
1999 Polish International Badminton Championships,1999-01-01,1998 Polish International Badminton Championships,2000 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1994 Polish International Badminton Championships,1994-01-01,1993 Polish International Badminton Championships,1995 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1979 Polish International Badminton Championships,1979-01-01,1978 Polish International Badminton Championships,1980 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1990 Polish International Badminton Championships,1990-01-01,1988 Polish International Badminton Championships,1991 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1996 Polish International Badminton Championships,1996-01-01,1995 Polish International Badminton Championships,1997 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
2010 Polish International Badminton Championships,2010-01-01,2009 Polish International Badminton Championships,2011 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1987 Polish International Badminton Championships,1987-01-01,1986 Polish International Badminton Championships,1988 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1981 Polish International Badminton Championships,1981-01-01,1980 Polish International Badminton Championships,1982 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
2002 Polish International Badminton Championships,2002-01-01,2000 Polish International Badminton Championships,2003 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1992 Polish International Badminton Championships,1992-01-01,1991 Polish International Badminton Championships,1993 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1980 Polish International Badminton Championships,1980-01-01,1979 Polish International Badminton Championships,1981 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
1991 Polish International Badminton Championships,1991-01-01,1990 Polish International Badminton Championships,1992 Polish International Badminton Championships,Polish Open Badminton Championships,badminton,WikiProject Badminton/tournament focus list
