col0,col1,col2,col3
Gambrinus Hotel,cultural monument of the Czech Republic,museum,Masarykovo náměstí
Divadlo Bolka Polívky,cultural monument of the Czech Republic,theatre,Jakubské náměstí
Klatovská třída 39,cultural monument of the Czech Republic,tenement,Klatovská třída
Villa Tesař,cultural monument of the Czech Republic,tenement,Hroznová
Jiřího z Poděbrad 289/17,cultural monument of the Czech Republic,tenement,Jiřího z Poděbrad
Česká 240/28,cultural monument of the Czech Republic,tenement,Česká
Vocelova 613/9,cultural monument of the Czech Republic,tenement,Vocelova
Kollárova 10,cultural monument of the Czech Republic,tenement,Kollárova
Kubova 6,cultural monument of the Czech Republic,tenement,Kubova
Kollárova 12,cultural monument of the Czech Republic,tenement,Kollárova
Sokolovská 60,cultural monument of the Czech Republic,tenement,Sokolovská
Křižíkova 77,cultural monument of the Czech Republic,tenement,Křižíkova
