col0,col1,col2,col3
Executive Order 13820,2018-01-08,2018-01-03,Donald Trump
Executive Order 13799,2017-05-16,2017-05-11,Donald Trump
Executive Order 13792,2017-01-05,2017-04-26,Donald Trump
Executive Order 13782,2017-03-30,2017-03-27,Donald Trump
Executive Order 13769,2017-02-01,2017-01-27,Donald Trump
Executive Order 13703,2015-08-04,2015-07-30,Barack Obama
Executive Order 9902,1947-11-05,1947-11-01,Harry S. Truman
Executive Order 9634,1945-10-02,1945-09-28,Harry S. Truman
Executive Order 8972,1941-12-16,1941-12-12,Franklin Delano Roosevelt
Executive Order 13073,1998-02-06,1998-02-04,Bill Clinton
Executive Order 13067,1997-11-05,1997-11-03,Bill Clinton
Executive Order 13007,1996-05-29,1996-05-24,Bill Clinton
Executive Order 13155,2000-05-12,2000-05-10,Bill Clinton
Executive Order 13141,1999-11-18,1999-11-16,Bill Clinton
