col0,col1,col2,col3,col4,col5
1981 Austrian Badminton Championships,1982 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1981 Austrian Badminton Championships – Men's doubles
1990 Austrian Badminton Championships,1991 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1990 Austrian Badminton Championships – Men's doubles
2015 Austrian Badminton Championships,2016 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,2015 Austrian Badminton Championships – Men's doubles
1975 Austrian Badminton Championships,1976 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1975 Austrian Badminton Championships – Men's doubles
2014 Austrian Badminton Championships,2015 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,2014 Austrian Badminton Championships – Men's doubles
2013 Austrian Badminton Championships,2014 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,2013 Austrian Badminton Championships – Men's doubles
1970 Austrian Badminton Championships,1971 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1970 Austrian Badminton Championships – Men's doubles
1968 Austrian Badminton Championships,1969 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1968 Austrian Badminton Championships – Men's doubles
1969 Austrian Badminton Championships,1970 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1969 Austrian Badminton Championships – Men's doubles
2017 Austrian Badminton Championships,2018 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,2017 Austrian Badminton Championships – Men's doubles
1993 Austrian Badminton Championships,1994 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1993 Austrian Badminton Championships – Men's doubles
1991 Austrian Badminton Championships,1992 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1991 Austrian Badminton Championships – Men's doubles
1999 Austrian Badminton Championships,2000 Austrian Badminton Championships,WikiProject Badminton/tournament focus list,national championship,Austrian Badminton Championships,1999 Austrian Badminton Championships – Men's doubles
