col0,col1,col2,col3
Egüés,Navarre,Aranguren,valley
Hoya of Guadix,Granada Province,Cordillera Penibética,valley
Hoya of Baza,Granada Province,Cordillera Penibética,valley
Capcir,Northern Catalonia,Conflent,historic comarca of North Catalonia
Valley of Ebro,Cantabria,Pyrenees,valley
Walgau,Vorarlberg,Alpine Rhine Valley,valley
Val Müstair,Graubünden,Valdidentro,valley
Capcir,Northern Catalonia,Conflent,valley
Fadental,St. Aegyd am Neuwalde,Annaberg,human settlement
Irenental,Tullnerbach,Sieghartskirchen,valley
Fadental,St. Aegyd am Neuwalde,Annaberg,valley
Irenental,Tullnerbach,Sieghartskirchen,village
