col0,col1,col2,col3,col4
Leesmuseum,Amsterdam,Netherlands,1800-11-17,building
Sindh Baloch Cooperative Housing Society,Gulshan Town,Pakistan,1990-01-01,society
Société de psychanalyse freudienne,Paris,France,1994-12-23,society
Club Gorca,Seville,Spain,1966-01-01,society
Casino Gaditano,Cádiz,Spain,1844-01-01,society
Sociedad Castellonense de Cultura,Castelló de la Plana,Spain,1920-01-01,society
Society of Consumer Affairs Professionals in Business,Virginia,United States of America,1973-01-01,society
Pennsylvania Horticultural Society,Philadelphia,United States of America,1827-01-01,society
The Marlowe,Cambridge,United Kingdom,1907-05-01,society
College of Physicians of Philadelphia,Philadelphia,United States of America,1787-01-01,society
Adam Mickiewicz Library and Dramatic Circle,Buffalo,United States of America,1895-01-01,society
Psychoanalytic Society of Montreal,Montreal,Canada,1969-01-01,society
Leesmuseum,Amsterdam,Netherlands,1800-11-17,society
German Society of Pennsylvania,Northern Liberties,United States of America,1764-01-01,society
National Speleological Society,Huntsville,United States of America,1941-01-01,society
