col0,col1,col2,col3,col4
Bocholt,Climate Alliance,UTC+01:00,71099,urban municipality of Germany
Arnsberg,Städte- und Gemeindebund Nordrhein-Westfalen,UTC+01:00,73814,urban municipality of Germany
Gladbeck,Mayors for Peace,UTC+01:00,75689,urban municipality of Germany
Unna,Mayors for Peace,UTC+01:00,57158,large district town
Lippstadt,Städte- und Gemeindebund Nordrhein-Westfalen,UTC+01:00,67936,large district town
Dinslaken,Emschergenossenschaft,UTC+01:00,67489,large district town
Detmold,Mayors for Peace,UTC+01:00,74353,large district town
Bocholt,Climate Alliance,UTC+01:00,71099,large district town
Arnsberg,Städte- und Gemeindebund Nordrhein-Westfalen,UTC+01:00,73814,large district town
Gladbeck,Städtetag Nordrhein-Westfalen,UTC+02:00,75689,large district town
Unna,Mayors for Peace,UTC+01:00,57158,Hanseatic city
Lippstadt,Städte- und Gemeindebund Nordrhein-Westfalen,UTC+01:00,67936,Hanseatic city
Dinslaken,Emschergenossenschaft,UTC+01:00,67489,Hanseatic city
Bocholt,Climate Alliance,UTC+01:00,71099,Hanseatic city
