col0,col1,col2,col3
Barranco del Val,Ebro Basin,Zaragoza Province,Sierra de Armantes
Río Leufucade,Valdivia Basin,Los Lagos Region,Huellahue
Garganta de Iruelas,Tagus Basin,Province of Ávila,Puerto de Casillas
Hollenberg river,Hollenberg Basin,Magellan and the Chilean Antarctic Region,Lago Balmaceda
Río Exploradores,Exploradores basin,Aysén Region,Lago Bayo
Estero Guaquén,Huaquen basin,Valparaíso Region,Cerro Don Pedro
Río Gallegos Chico,Gallegos Basin,Magellan and the Chilean Antarctic Region,La Pelecha
Mytva,Pripyat basin,Gomel Region,Mazyr District
Milmesbach,Elbe Basin,Plauen,Meßbach (Plauen)
Gritos River,Júcar Basin,Cuenca Province,Olmeda del Rey
Cueza,Douro basin,Palencia Province,Villazanzo de Valderaduey
Barranco de los Hornillos,Ebro Basin,Zaragoza Province,Ateca
