col0,col1,col2,col3,col4
Darkseid,ruler,literary character,Highfather,male
Mister Miracle,superhero,New Gods,Darkseid,male
Orion,superhero,New Gods,Darkseid,male
Desaad,torturer,New Gods,Orion,male
Highfather,ruler,New Gods,Darkseid,male
Kalibak,murderer,New Gods,Orion,male
Granny Goodness,supervillain,New Gods,Mister Miracle,female
Darkseid,ruler,New Gods,Highfather,male
Mister Miracle,superhero,comics character,Darkseid,male
Orion,superhero,comics character,Darkseid,male
Desaad,torturer,comics character,Orion,male
Highfather,ruler,comics character,Darkseid,male
Kalibak,murderer,comics character,Orion,male
