col0,col1,col2,col3,col4
La Ñora,minor local entity of Spain,66,Murcia,Spain
Jerónimo y Avileses,minor local entity of Spain,115,Murcia,Spain
Taravero,minor local entity of Spain,552,Burgos Province,Spain
Era Alta,minor local entity of Spain,57,Murcia,Spain
El Raal,minor local entity of Spain,31,Murcia,Spain
El Puntal,minor local entity of Spain,95,Murcia,Spain
El Esparragal,minor local entity of Spain,35,Murcia,Spain
Corvera,minor local entity of Spain,270,Murcia,Spain
Conquezuela,minor local entity of Spain,1145,Miño de Medinaceli,Spain
Churra,minor local entity of Spain,57,Murcia,Spain
Casillas,minor local entity of Spain,37,Murcia,Spain
Baranda,minor local entity of Spain,698,Merindad de Montija,Spain
