col0,col1,col2,col3
Mittlere Elbe,IUCN category V: Protected Landscape/Seascape,Jerichower Land,Mittlere Elbe
Mittlere Elbe,IUCN category V: Protected Landscape/Seascape,Jerichower Land,Mittlere Elbe
Mittlere Elbe,IUCN category V: Protected Landscape/Seascape,Dessau-Roßlau,Mittlere Elbe
Mittlere Elbe,IUCN category V: Protected Landscape/Seascape,Magdeburg,Mittlere Elbe
Mittelelbe,IUCN category V: Protected Landscape/Seascape,Anhalt-Bitterfeld,Mittelelbe / Mittlere Elbe
Mittelelbe,IUCN category V: Protected Landscape/Seascape,Dessau-Roßlau,Mittelelbe / Mittlere Elbe
Dübener Heide,IUCN category V: Protected Landscape/Seascape,Wittenberg,Dübener Heide
Dübener Heide,IUCN category V: Protected Landscape/Seascape,Anhalt-Bitterfeld,Dübener Heide
Dölauer Heide,IUCN category V: Protected Landscape/Seascape,Saalekreis,Dölauer Heide
Dölauer Heide,IUCN category V: Protected Landscape/Seascape,Halle (Saale),Dölauer Heide
