col0,col1,col2,col3,col4,col5
Helsinki,largest city,Helsinki City Museum,Finland,Eastern European Time,Helsinki constituency
Espoo,big city,Tapiolan Urheilupuisto,Finland,UTC+02:00,Uusimaa
Tampere,big city,Tampere Ice Stadium,Finland,UTC+02:00,Pirkanmaa
Turku,big city,Veritas Stadion,Finland,UTC+02:00,Finland Proper (electoral district)
Lahti,big city,Lahti Stadium,Finland,UTC+02:00,Tavastia
Espoo,municipality of Finland,Tapiolan Urheilupuisto,Finland,UTC+02:00,Uusimaa
Tampere,municipality of Finland,Tampere Ice Stadium,Finland,UTC+02:00,Pirkanmaa
Turku,municipality of Finland,Veritas Stadion,Finland,UTC+02:00,Finland Proper (electoral district)
Rauma,municipality of Finland,Rauma shipyard,Finland,UTC+02:00,Satakunta
Lahti,municipality of Finland,Lahti Stadium,Finland,UTC+02:00,Tavastia
