col0,col1,col2,col3
Lamp-AO 4692,"Room 314, display case 3",0100-01-01,anonymous
Bastet-E 3915,"Room 643, display case 11",-0800-01-01T00:00:00Z,anonymous
Falcon-shaped necklace locks-E 25380 B,"Room 330, display case 7",-1000-01-01T00:00:00Z,anonymous
Cruciform figurine-AO 31588,"Room 300, display case 1",-4000-01-01T00:00:00Z,anonymous
Neferhebef wife and son-A 57,Room 334,-1500-01-01T00:00:00Z,anonymous
Egyptian-style mask-N 3319,"Room 300, display case 5",-2000-01-01T00:00:00Z,anonymous
Roman-era bottle with handle,Necropolis and epigraphy gallery,0100-01-01,anonymous
Belt buckle 25088,Necropolis and epigraphy gallery,0700-01-01,anonymous
Fragment of a mortar ornated with a bas-relief,2nd floor of Musée Saint-Raymond,0200-01-01,anonymous
Vase ornated with spirals,2nd floor of Musée Saint-Raymond,0400-01-01,anonymous
Mural mosaic fragment,2nd floor of Musée Saint-Raymond,0500-01-01,anonymous
